product_id,price,option,date_created,is_immediate_delivery_item
122102,200000,260,2024-12-06T09:00:22Z,false
122102,190000,260,2024-12-05T16:58:33Z,false
122102,219000,270,2024-12-05T05:17:14Z,false
122102,218000,270,2024-12-04T11:12:16Z,false
122102,190000,245,2024-12-03T09:31:17Z,false
122102,215000,265,2024-12-03T01:26:24Z,false
122102,214000,265,2024-12-03T01:25:48Z,false
122102,229000,270,2024-12-02T10:27:59Z,true
122102,266000,280,2024-12-02T09:01:51Z,false
122102,210000,265,2024-12-02T09:00:45Z,false
122102,205000,260,2024-12-02T09:00:17Z,false
122102,186000,270,2024-12-02T08:29:56Z,false
122102,200000,275,2024-11-30T07:15:10Z,false
122102,190000,270,2024-11-28T14:07:07Z,true
122102,210000,265,2024-11-28T12:21:56Z,false
122102,190000,270,2024-11-28T11:15:47Z,true
122102,258000,280,2024-11-28T03:27:36Z,true
122102,234000,260,2024-11-27T07:09:35Z,true
122102,150000,260,2024-11-27T04:46:19Z,true
122102,289000,285,2024-11-26T21:54:35Z,true
122102,200000,265,2024-11-26T12:39:37Z,false
122102,184000,245,2024-11-26T02:34:44Z,false
122102,205000,265,2024-11-25T12:47:23Z,false
122102,186000,270,2024-11-24T12:09:03Z,false
122102,186000,270,2024-11-24T09:39:27Z,false
122102,206000,275,2024-11-23T03:54:07Z,false
122102,208000,275,2024-11-23T03:17:35Z,false
122102,200000,260,2024-11-22T09:22:32Z,false
122102,254000,280,2024-11-22T04:39:30Z,false
122102,217000,270,2024-11-21T05:54:41Z,false
122102,162000,240(US 6),2024-11-19T01:26:00Z,false
122102,180000,235(US 5),2024-11-19T01:23:50Z,false
122102,152000,230,2024-11-19T01:22:50Z,false
122102,199000,250,2024-11-19T00:52:53Z,false
122102,183000,245,2024-11-18T06:33:36Z,false
122102,215000,265,2024-11-18T02:03:52Z,false
122102,190000,255,2024-11-17T06:40:19Z,false
122102,182000,245,2024-11-17T06:37:10Z,false
122102,200000,260,2024-11-16T12:18:06Z,false
122102,210000,270,2024-11-16T09:11:04Z,false
122102,187000,270,2024-11-16T01:54:04Z,false
122102,154000,260,2024-11-14T04:52:14Z,true
122102,200000,265,2024-11-14T03:56:58Z,false
122102,196000,265,2024-11-13T17:28:44Z,false
122102,199000,265,2024-11-13T11:01:03Z,false
122102,170000,245,2024-11-13T08:37:44Z,false
