date,상품,카테고리,발매가,브랜드,리셀가
2025-01-08T06:02:24Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,202000
2025-01-08T05:58:24Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-08T05:37:44Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-08T04:48:52Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,185000
2025-01-08T03:37:18Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,245000
2025-01-08T03:32:47Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,188000
2025-01-08T03:19:39Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,220000
2025-01-08T01:44:20Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-08T00:21:58Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,190000
2025-01-07T19:53:56Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,189000
2025-01-07T16:28:40Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,230000
2025-01-07T16:11:14Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,215000
2025-01-07T16:08:44Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,218000
2025-01-07T15:31:51Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-07T14:16:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,204000
2025-01-07T11:44:58Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,205000
2025-01-07T11:43:42Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,268000
2025-01-07T11:43:03Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,212000
2025-01-07T11:16:39Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,205000
2025-01-07T10:41:06Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,229000
2025-01-07T10:27:07Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,189000
2025-01-07T10:16:35Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,196000
2025-01-07T09:30:45Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,228000
2025-01-07T08:39:32Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-07T08:39:32Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,310000
2025-01-07T07:24:35Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,289000
2025-01-07T06:21:23Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,198000
2025-01-07T06:08:30Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-07T06:03:55Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-07T06:03:55Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,202000
2025-01-07T06:03:55Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-07T06:03:55Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,213000
2025-01-07T06:03:55Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,220000
2025-01-07T05:58:38Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,196000
2025-01-07T05:58:38Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-07T05:58:38Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,220000
2025-01-07T05:37:20Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,197000
2025-01-07T05:10:19Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,194000
2025-01-07T04:27:50Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,205000
2025-01-07T03:56:06Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,215000
2025-01-07T02:48:39Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-07T02:43:00Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,204000
2025-01-07T02:36:57Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-07T01:13:29Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,224000
