date,상품,카테고리,발매가,브랜드,리셀가
2025-01-13T08:30:33Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,129000
2025-01-13T08:12:28Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T08:11:02Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T08:04:19Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T07:57:32Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,136000
2025-01-13T07:53:10Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T07:52:26Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T07:49:57Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T07:46:01Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T07:44:14Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T07:39:36Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T07:36:50Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T07:36:07Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T07:29:49Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T07:27:16Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,107000
2025-01-13T07:22:13Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T07:21:06Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T07:20:33Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T07:18:57Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T07:17:41Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T07:16:35Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T07:10:34Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T07:08:51Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T07:07:59Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T07:02:34Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,129000
2025-01-13T07:01:31Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T07:01:13Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T06:52:51Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T06:52:03Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,125000
2025-01-13T06:51:00Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T06:43:29Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T06:40:50Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T06:34:15Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T06:33:55Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T06:32:03Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T06:31:40Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T06:31:36Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T06:31:10Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T06:29:36Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T06:29:08Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T06:27:38Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T06:25:16Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T06:22:22Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T06:11:37Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T06:10:15Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T06:09:30Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T06:09:14Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T06:08:26Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T06:03:38Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T05:58:21Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T05:56:57Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T05:55:38Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T05:54:20Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T05:53:45Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,103000
2025-01-13T05:49:52Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T05:42:43Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T05:36:47Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T05:30:23Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T05:24:57Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,119000
2025-01-13T05:19:28Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T05:16:37Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,104000
2025-01-13T05:05:22Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T05:02:17Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T04:59:58Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T04:58:16Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
